region_code,region_name,reporting_year,poverty_line,reporting_pop,headcount,poverty_gap,poverty_severity,watts,mean,spr,pg,pop_in_poverty,estimate_type
NAC,North America,1991,3,281076404,0.0052023516630720044,0.0029854378770003773,0.002116487269828739,0.005811300094752366,63.25445543050106,0.1956811056377397,0.9308259716128465,1462258,actual
NAC,North America,1992,3,284943671,0.005143183906690069,0.00280637113179153,0.001920880675668951,0.0052145214507916555,63.32944811066413,0.19431243484225344,0.9094699162595219,1465518,actual
NAC,North America,1993,3,288662580,0.005790240223725555,0.0035332776507773283,0.002602008799975343,0.007062467226559367,64.3674830811674,0.19800490462670983,0.9872726819254004,1671426,actual
NAC,North America,1994,3,292185857,0.006012261947536799,0.0035957013684886955,0.002640237487651363,0.00717730604081312,65.51846824745552,0.19258213516388645,0.9668283288349437,1756698,actual
NAC,North America,1995,3,295639837,0.005667860669431718,0.0034837273750563677,0.002622740788349152,0.007133559445169799,66.42119467250089,0.18786713615898792,0.9530387729048466,1675645,actual
NAC,North America,1996,3,299064031,0.005432039191635853,0.0033862965774083217,0.0025886678095282307,0.007216798482237397,67.19857774711643,0.19090749954747985,0.9678628557041492,1624528,actual
NAC,North America,1997,3,302623125,0.005988055365235085,0.003872065281015599,0.0029881139627050677,0.008421004536291573,69.09932349674627,0.1867002940479185,1.0117880810050783,1812124,actual
NAC,North America,1998,3,306069812,0.006898823801677993,0.004510196884484268,0.003487412426620474,0.009707259193770705,71.04621603978352,0.1889871237858309,1.0267340047966695,2111522,actual
NAC,North America,1999,3,309502410,0.005883594086068564,0.0038239365397280995,0.0029562277570585782,0.008337917782179254,72.73518346407978,0.1872596977829672,0.9694322845880967,1820987,actual
NAC,North America,2000,3,312909691,0.006081961581047915,0.003951090686731415,0.003050412470915235,0.008587881148705286,73.68476907283839,0.18336889016869728,0.969637877554964,1903105,actual
NAC,North America,2001,3,316051677,0.007584969355976483,0.005080234944246066,0.004023469434507722,0.011190374857212455,73.8784116838171,0.18496083997791918,1.0622695471723442,2397242,actual
NAC,North America,2002,3,319046534,0.007094033996778725,0.00468851755931931,0.0036558684076525576,0.010160986196805848,74.09292192640048,0.18981341876715077,1.024150656358993,2263327,actual
NAC,North America,2003,3,321812780,0.008410802971220752,0.00592560126546171,0.00478428941737549,0.013423208771845632,75.13638662307022,0.18931423360190977,1.1546615099187258,2706704,actual
NAC,North America,2004,3,324806660,0.008676295039023287,0.006212717819210867,0.005070467810144317,0.014348806579344637,74.50234276459933,0.18626295428702108,1.2055345365226438,2818118,actual
NAC,North America,2005,3,327822042,0.008540098144010343,0.006122225773648951,0.004990818922028038,0.0140832626853193,76.11718896074315,0.18736351318377792,1.1813494566447744,2799632,actual
NAC,North America,2006,3,331013939,0.008595478528478303,0.006217140514765341,0.005089724177080973,0.014398851456490093,77.50210671459283,0.18836269612576648,1.1950605011326185,2845223,actual
NAC,North America,2007,3,334183103,0.008336344705764035,0.006003651750332987,0.004915647196078119,0.0139635787282823,77.28172475069618,0.1910779987154228,1.1785796973298466,2785866,actual
